,Name,No of reviews,Price,Rating out of 5
0,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",10133,4499.0,4.1
1,"Preethi Blue Leaf Gold MG 150 Mixer Grinder 750 watt, 3 Jars, White",716,5234.0,4.2
2,"Lifelong LLMG45 Power Pro 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (White/Grey)",36766,1289.0,3.8
3,"Philips HL7756/00 Mixer Grinder, 750W, 3 Jars (Black)",22553,3387.0,4.1
4,"Croma 500W Mixer Grinder with 3 Stainless Steel Leak-proof Jars, 3 speed & Pulse function, 2 years warranty (CRAK4184, White & Purple)",918,1290.0,3.9
5,"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White",36103,2346.0,4.2
6,"Butterfly Smart Mixer Grinder, 750W, 4 Jars (Grey)",16835,3099.0,3.9
7,"Lifelong LLMG93 500 Watt Duos Mixer Grinder, 2 Stainless Steel Jar (Liquidizing and Chutney Jar)| ABS Body, Stainless Steel Blades, 3 Speed Options with Whip (1 Year Warranty, Black)",1164,1210.0,3.9
8,"Lifelong Power - Pro 500 Watt 3 Jar Mixer Grinder with 3 Speed Control and 1100 Watt Dry Non-Stick soleplate Iron Super Combo (White and Grey, 1 Year Warranty)",6300,1999.0,3.8
9,"Bajaj Pluto 500W Mixer Grinder with 2 in 1 Function Blade, 3 Jars, White",3048,2197.0,4
10,"PHILIPS HL7505/02 500W Mixer Grinder, Red",2900,2697.0,4.2
11,"Lifelong LLMG200 Power Pro LX 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",96,1659.0,3.6
12,"Pigeon by Stovekraft Amaze 550 Watt Mixer Grinder with 3 Stainless Steel Jars (Dark Grey, Medium) (14772)",926,1583.0,3.5
13,Prestige IRIS Plus 750 watt mixer grinder,8915,3225.0,3.8
14,"Butterfly Jet Elite Mixer Grinder, 750W, 4 Jars (Grey)",20601,3350.0,3.9
15,Havells CAPTURE 500 Watt Mixer Grinder with 3 Stainless Steel Jar (Grey & Green) with 5 year Motor warranty,4032,2599.0,4.1
16,"Butterfly Hero Mixer Grinder, 500W, 3 Jars (Grey)",8820,1858.0,3.8
